Country/Region,Continent,Population,TotalTests,Tests/1M pop,Tot Cases/1M pop,Deaths/1M pop,"Serious,Critical"
Sweden,Europe,10105596.0,863315.0,85429.0,8111.0,571.0,38.0
Oman,Asia,5118446.0,309212.0,60411.0,15769.0,96.0,177.0
Israel,Asia,9197590.0,1872453.0,203581.0,8650.0,63.0,358.0
Ukraine,Europe,43705858.0,1116641.0,25549.0,1757.0,42.0,158.0
Dominican Republic,North America,10858648.0,281926.0,25963.0,7048.0,115.0,317.0
Panama,North America,4321282.0,240995.0,55769.0,16527.0,364.0,161.0
Belgium,Europe,11594739.0,1767120.0,152407.0,6137.0,850.0,61.0
Kuwait,Asia,4276658.0,522200.0,122105.0,16378.0,110.0,127.0
Belarus,Europe,9449001.0,1344303.0,142269.0,7250.0,61.0,534.3934426229508
UAE,Asia,9902079.0,5262658.0,531470.0,6246.0,36.0,534.3934426229508
Romania,Europe,19224023.0,1319369.0,68631.0,3012.0,133.0,458.0
Netherlands,Europe,17138756.0,1079860.0,63007.0,3325.0,359.0,37.0
Singapore,Asia,5854932.0,1474372.0,251817.0,9318.0,5.0,534.3934426229508
Guatemala,North America,17946899.0,172712.0,9624.0,3028.0,118.0,5.0
Portugal,Europe,10193593.0,1705474.0,167308.0,5107.0,171.0,42.0
Poland,Europe,37842302.0,2374686.0,62752.0,1308.0,47.0,72.0
Nigeria,Africa,206606300.0,306894.0,1485.0,219.0,5.0,7.0
Honduras,North America,9919704.0,109292.0,11018.0,4546.0,143.0,52.0
Bahrain,Asia,1706669.0,876700.0,513691.0,25130.0,91.0,41.0
Japan,Asia,126435859.0,938739.0,7425.0,334.0,8.0,115.0
Armenia,Asia,2963811.0,171600.0,57898.0,13435.0,260.0,534.3934426229508
Ghana,Africa,31133483.0,405817.0,13035.0,1273.0,6.0,7.0
Kyrgyzstan,Asia,6534479.0,267718.0,40970.0,5916.0,221.0,24.0
Afghanistan,Asia,39009447.0,90396.0,2317.0,946.0,33.0,31.0
Switzerland,Europe,8660952.0,822764.0,94997.0,4169.0,229.0,23.0
Algeria,Africa,43926079.0,1402404.7015706806,83959.3664921466,766.0,29.0,57.0
Azerbaijan,Asia,10148243.0,766179.0,75499.0,3276.0,47.0,66.0
Morocco,Africa,36953359.0,1383816.0,37448.0,802.0,12.0,31.0
Uzbekistan,Asia,33516027.0,1377915.0,41112.0,845.0,5.0,228.0
Serbia,Europe,8733665.0,723137.0,82799.0,3129.0,71.0,120.0
Moldova,Europe,4032983.0,128076.0,31757.0,6603.0,205.0,362.0
Ireland,Europe,4943200.0,652917.0,132084.0,5335.0,358.0,5.0
Kenya,Africa,53881160.0,335318.0,6223.0,453.0,7.0,44.0
Venezuela,South America,28427499.0,1567431.0,55138.0,784.0,7.0,42.0
Nepal,Asia,29186486.0,731977.0,25079.0,745.0,2.0,534.3934426229508
Austria,Europe,9011577.0,937275.0,104008.0,2408.0,80.0,25.0
Costa Rica,North America,5098730.0,96110.0,18850.0,4132.0,39.0,103.0
Ethiopia,Africa,115223736.0,468814.0,4069.0,181.0,3.0,185.0
Australia,Australia/Oceania,25528864.0,4631419.0,181419.0,779.0,10.0,52.0
El Salvador,North America,6489514.0,251271.0,38720.0,2947.0,79.0,509.0
Czechia,Europe,10711019.0,728670.0,68030.0,1655.0,36.0,17.0
