country,country_code,date,cumulative_vaccinations,daily_vaccinations
Belgium,BEL,2022-02-13,24462704.0,16996.0
Belgium,BEL,2022-02-14,24475780.0,13076.0
Belgium,BEL,2022-02-15,24498524.0,22744.0
Belgium,BEL,2022-02-16,24586388.0,87864.0
Belgium,BEL,2022-02-17,24615204.0,28816.0
Belgium,BEL,2022-02-18,24637780.0,22576.0
Belgium,BEL,2022-02-19,24697166.0,59386.0
Belgium,BEL,2022-02-20,24702980.0,5814.0
Belgium,BEL,2022-02-21,24719564.0,16584.0
Belgium,BEL,2022-02-22,24751324.0,31760.0
Belgium,BEL,2022-02-23,24818880.0,67556.0
Belgium,BEL,2022-02-24,24857448.0,38568.0
Belgium,BEL,2022-02-25,24886960.0,29512.0
Belgium,BEL,2022-02-26,24921400.0,34440.0
Belgium,BEL,2022-02-27,24923902.0,2502.0
Belgium,BEL,2022-02-28,24929938.0,6036.0
Belgium,BEL,2022-03-01,24938890.0,8952.0
Belgium,BEL,2022-03-02,24964416.0,25526.0
Belgium,BEL,2022-03-03,24974760.0,10344.0
Belgium,BEL,2022-03-04,24983240.0,8480.0
Belgium,BEL,2022-03-05,24998158.0,14918.0
Belgium,BEL,2022-03-06,24998412.0,254.0
Belgium,BEL,2022-03-07,25003080.0,4668.0
Belgium,BEL,2022-03-08,25009344.0,6264.0
Belgium,BEL,2022-03-09,25048568.0,39224.0
